State,FY 1980,FY 1990,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011
Alabama,1146713,2275233,4176082,4354794,4444390,4657643,4812479,5164406,5699076,6245031,6832439,6683843,6670517,6592925
Alaska,377947,828051,1183499,1229036,1284854,1326226,1354846,1442269,1529645,1634316,1918375,2007319,2084019,2201270
Arizona,949753,2258660,4288739,4846105,5395814,5892227,6071785,6579957,7130341,7815720,8403221,8726755,8482552,8340211
Arkansas,666949,1404545,2380331,2505179,2822877,2923401,3109644,3546999,3808011,3997701,4156368,4240839,4459910,4578136
California,9172158,21485782,38129479,42908787,46265544,47983402,49215866,50918654,53436103,57352599,61570555,60080929,58248662,57526835
Colorado,1243049,2451833,4401010,4758173,5151003,5551506,5666191,5994440,6368289,6579053,7338766,7187267,7429302,7409462
Connecticut,1227892,3444520,5402836,5693207,6031062,6302988,6600767,7080396,7517025,7855459,8336789,8708294,8853337,9094036
Delaware,269108,520953,937630,1027224,1072875,1127745,1201631,1299349,1405465,1437707,1489594,1518786,1549812,1613304
Florida,2766468,8228531,13885988,15023514,15535864,16355123,17578884,19042877,20897327,22887024,24224114,23328028,23349314,23870090
Georgia,1608028,4505962,9158624,10011343,10853496,11630576,11788616,12528856,13739263,14828715,16030039,15976945,15730409,15527907
Hawaii,351889,700012,1213695,1215968,1348381,1489092,1566792,1648086,1805521,2045198,2122779,2225438,2136144,2141561
Idaho,313927,627794,1302817,1403190,1481803,1511862,1555006,1618215,1694827,1777491,1891505,1957740,1961857,1881746
Illinois,4579355,8125493,14462773,15634490,16480787,17271301,18081827,18658428,19244908,20326591,21874484,23495271,24695773,24554467
Indiana,1851292,4074578,7110930,7548487,7704547,8088684,8524980,9108931,9241986,9497077,9281709,9680895,9921243,9687949
Iowa,1186659,2004742,3264336,3430885,3565796,3652022,3669797,3808200,4039389,4231932,4499236,4731463,4794308,4855871
Kansas,830133,1848302,2971814,3264698,3450923,3510675,3658421,3718153,4039417,4339477,4633517,4806603,4731676,4741372
Kentucky,1054459,2134011,3837794,4047392,4268608,4401627,4553382,4812591,5213620,5424621,5822550,5886890,6091814,6211453
Louisiana,1303902,2838283,4391189,4485878,4802565,5056583,5290964,5554766,5554278,6040368,6814455,7276651,7393452,7522098
Maine,385492,1048195,1604438,1704422,1812798,1909268,1969497,2056266,2119408,2258764,2308071,2350447,2370085,2377878
Maryland,1783056,3894644,6545135,7044881,7480723,7933055,8198454,8682586,9381613,10210303,11211176,11591965,11883677,12035719
Massachusetts,2638734,4760390,8564039,9272387,9957292,10281820,10799765,11357857,11747010,12383447,13182987,13937097,13356373,13649965
Michigan,4642847,8025621,13994294,14243597,14975150,15674698,15983044,16353921,16681981,17013259,17053521,17217584,17227515,16786444
Minnesota,1786768,3474398,6140442,6531198,6586559,6867403,7084005,7310284,7686638,8060410,8426264,9182281,8927288,8944867
Mississippi,756018,1472710,2510376,2576457,2642116,2853531,3059569,3243888,3550261,3692358,3898401,3967232,3990876,3887981
Missouri,1504988,3288738,5655531,6076169,6491885,6793957,6832454,7115207,7592485,7957705,8526641,8827224,8923448,8691887
Montana,358118,641345,994770,1041760,1073005,1124291,1160838,1193182,1254360,1320112,1392449,1436062,1498252,1518818
Nebraska,581615,1233431,1926500,2067290,2206946,2304223,2413404,2512914,2672629,2825608,2970323,3053575,3213646,3298536
Nevada,281901,712898,1875467,1978480,2169000,2251044,2470581,2722264,2959728,3311471,3515004,3606035,3592994,3676997
New Hampshire,295400,821671,1418503,1518792,1641378,1781594,1900240,2021144,2139113,2246692,2399330,2490623,2576956,2637911
New Jersey,3638533,8119336,13327645,14773650,15822609,17185966,18416695,19669576,20869993,22448262,24357079,23446911,24261392,23639281
New Mexico,515451,1020148,1890274,2022093,2204165,2281608,2446115,2554638,2729707,2904474,3057061,3186252,3217328,3127463
New York,8760500,18090978,28433240,30884292,32218975,34546965,36205111,38866853,41149457,43679908,46443426,48635363,50251461,51509285
North Carolina,1880862,4342826,7713293,8201901,8543290,8766968,8994620,9835550,10476056,11248336,11482912,12598382,12200362,12322555
North Dakota,228483,459391,638946,668814,711437,716007,749697,832157,857774,838221,886317,928528,1000095,1049772
Ohio,3836576,7994379,12974575,13893495,14774065,15868494,16662985,17167866,17829599,18251361,18892374,19387318,19801670,19988921
Oklahoma,1055844,1905332,3382581,3750542,3875547,3804570,3853308,4161024,4406002,4750536,4932913,5082062,5192124,5036031
Oregon,1126812,2297944,3896287,4112069,4214512,4150747,4199485,4458028,4773751,5039632,5409630,5529831,5401667,5430888
Pennsylvania,4584320,9496788,14120112,14895316,15550975,16344439,17680332,18711100,19631006,20404304,21157430,21831816,22733518,23485203
Rhode Island,362046,801908,1393143,1465703,1533455,1647587,1765585,1825900,1934429,2039633,2134609,2139317,2136582,2149366
South Carolina,997984,2322618,4087355,4492161,4744809,4888250,5017833,5312739,5696629,6023043,6453817,6626763,6566165,6461884
South Dakota,238332,447074,737998,796133,819296,851429,887328,916563,948671,977006,1037875,1080054,1115861,1126503
