x,y,z
1.819370272,1.819370270,1.819370263
1.819370263,1.819370268,1.819370263
1.819370265,1.819370268,1.819370263
1.819376538,1.819370262,1.819370263
1.819370270,1.819370272,1.819370263
1.819370264,1.819370266,1.819370263
1.819370269,1.819370266,1.819370262
1.819370263,1.819370266,1.819370262
1.819370264,1.819370264,1.819370263
1.819370262,1.819370270,1.819370263
1.819370267,1.819370268,1.819370262
1.819370263,1.819370271,1.819370262
1.819370267,1.819370270,1.819370262
1.819370264,1.819370267,1.819370263
1.819370270,1.819370265,1.819370263
1.819370267,1.819370265,1.819370263
1.819370267,1.819370266,1.819370262
1.819370324,1.819370272,1.819370262
1.819370285,1.819370267,1.819370262
1.819370263,1.819370263,1.819370263
1.819370269,1.819370263,1.819370263
1.819370265,1.819370266,1.819370263
1.819370266,1.819370269,1.819370262
1.819370266,1.819370264,1.819370263
1.819370264,1.819370264,1.819370263
1.819370266,1.819370267,1.819370262
1.819370268,1.819370268,1.819370263
1.819370264,1.819370266,1.819370262
1.819370264,1.819370268,1.819370263
1.819370262,1.819370263,1.819370262
1.819370264,1.819370264,1.819370263
1.819370265,1.819370267,1.819370263
1.819370264,1.819370263,1.819370263
1.819370270,1.819370263,1.819370262
1.819370267,1.819370265,1.819370262
1.819370268,1.819370267,1.819370263
1.819370269,1.819370270,1.819370262
1.819370268,1.819370262,1.819370263
1.819370266,1.819370271,1.819370262
