Year,White_unemployment,Black_unemployment,White_hs,Black_hs,white_college,black_college
1972,5.1,10.4,60.4,36.6,12.6,5.1
1973,4.3,9.425,61.9,39.2,13.1,6.0
1974,5.1,10.54166667,63.3,40.8,14.0,5.5
1975,7.8,14.80833333,64.5,42.5,14.5,6.4
1976,7.0,13.95,66.1,43.8,15.4,6.6
1977,6.2,14.03333333,67.0,45.5,16.1,7.2
1978,5.2,12.74166667,67.9,47.6,16.4,7.2
1979,5.1,12.34166667,69.7,49.4,17.2,7.9
1980,6.3,14.29166667,70.5,51.2,17.8,7.9
1981,6.7,15.625,71.6,52.9,17.8,8.2
1982,8.6,18.90833333,72.8,54.9,18.5,8.8
1983,8.4,19.5,73.8,56.8,19.5,9.5
1984,6.5,15.925,75.0,58.5,19.8,10.4
1985,6.2,15.09166667,75.5,59.8,20.0,11.1
1986,6.0,14.55833333,76.2,62.3,20.1,10.9
1987,5.3,12.96666667,77.0,63.4,20.5,10.7
1988,4.7,11.70833333,77.7,63.5,20.9,11.2
1989,4.5,11.46666667,78.4,64.6,21.8,11.8
1990,4.8,11.40833333,79.1,66.2,22.0,11.3
1991,6.1,12.49166667,79.9,66.7,22.2,11.5
1992,6.6,14.2,80.9,67.7,22.1,11.9
1993,6.1,12.95,81.5,70.4,22.6,12.2
1994,5.3,11.49166667,82.0,72.9,22.9,12.9
1995,4.9,10.375,83.0,73.8,24.0,13.2
1996,4.7,10.50833333,82.8,74.3,24.3,13.6
1997,4.2,10.05833333,83.0,74.9,24.6,13.3
1998,3.9,8.916666667,83.7,76.0,25.0,14.7
1999,3.7,8,84.3,77.0,25.9,15.4
2000,3.5,7.591666667,84.9,78.5,26.1,16.5
2001,4.2,8.65,84.8,78.8,26.6,15.7
2002,5.1,10.24166667,84.8,78.7,27.2,17.0
2003,5.3,10.78333333,85.1,80.0,27.6,17.3
2004,4.8,10.375,85.8,80.6,28.2,17.6
2005,4.4,9.983333333,85.8,81.1,28.1,17.6
2006,4.0,8.95,86.1,80.7,28.4,18.5
2007,4.1,8.258333333,86.2,82.3,29.1,18.5
2008,5.2,10.1,87.1,83.0,29.8,19.6
2009,8.5,14.78333333,87.1,84.1,29.9,19.3
2010,8.7,15.95833333,87.6,84.2,30.3,19.8
2011,7.9,15.825,88.1,84.5,31.0,19.9
2012,7.2,13.80833333,88.1,85.0,31.3,21.2
2013,6.5,13.05833333,88.6,85.1,32.0,21.8
2014,5.3,11.34166667,88.8,85.8,32.3,22.2
