state,state.abreviated,division
Connecticut,(CT),1
Maine,(ME),1
Massachusetts,(MA),1
New Hampshire,(NH),1
Rhode Island,(RI),1
Vermont,(VT),1
New Jersey,(NJ),2
New York,(NY),2
Pennsylvania,(PA),2
Illinois,(IL),3
Indiana,(IN),3
Michigan,(MI),3
Ohio,(OH),3
Wisconsin,(WI),3
Iowa,(IA),4
Kansas,(KS),4
Minnesota,(MN),4
Missouri,(MO),4
Nebraska,(NE),4
North Dakota,(ND),4
South Dakota,(SD),4
Delaware,(DE),5
District of Columbia,(DC),5
Florida,(FL),5
Georgia,(GA),5
Maryland,(MD),5
North Carolina,(NC),5
South Carolina,(SC),5
Virginia,(VA),5
West Virginia,(WV),5
Alabama,(AL),6
Kentucky,(KY),6
Mississippi,(MS),6
Tennessee,(TN),6
Arkansas,(AR),7
Louisiana,(LA),7
Oklahoma,(OK),7
Texas,(TX),7
Arizona,(AZ),8
Colorado,(CO),8
Idaho,(ID),8
Montana,(MT),8
Nevada,(NV),8
New Mexico,(NM),8
Utah,(UT),8
Wyoming,(WY),8
Alaska,(AK),9
California,(CA),9
Hawaii,(HI),9
Oregon,(OR),9
Washington,(WA),9
